INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212057547,3115,,INVESTIGATE PERSON,C6,206,0,2021-02-04 00:00:00,2021,2,Thursday,0,,SEAPORT BLVD,42.3519645134285,-71.0461129109746,"(42.3519645134285, -71.0461129109746)"
212051739,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11,404,0,2021-03-12 08:00:00,2021,3,Friday,8,,DORCHESTER AVE,42.2767359791228,-71.0668353707249,"(42.2767359791228, -71.0668353707249)"
212044414,301,,ROBBERY,A1, ,0,2021-03-06 00:00:00,2021,3,Saturday,0,,PORTLAND ST,42.3642384016073,-71.0616551501101,"(42.3642384016073, -71.0616551501101)"
212042291,619,,LARCENY ALL OTHERS,C6,186,0,2021-03-05 17:00:00,2021,3,Friday,17,,ALLSTATE RD,42.3280996604115,-71.0632167604899,"(42.3280996604115, -71.0632167604899)"
212041643,3801,,M/V ACCIDENT - OTHER,E5, ,0,2021-01-29 15:00:00,2021,1,Friday,15,,WASHINGTON ST,42.2920253880584,-71.1221896972387,"(42.2920253880584, -71.1221896972387)"
212035032,617,,LARCENY THEFT FROM BUILDING,A7,28,0,2021-04-16 13:15:00,2021,4,Friday,13,,EUTAW ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
212033979,3301,,VERBAL DISPUTE,D4,162,0,2021-01-19 03:18:00,2021,1,Tuesday,3,,TRAVELER ST,42.3442378076867,-71.0629643963208,"(42.3442378076867, -71.0629643963208)"
212033331,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E18,520,0,2021-01-15 00:00:00,2021,1,Friday,0,,HYDE PARK AVE,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212028230,3301,,VERBAL DISPUTE,D4,167,0,2021-03-21 20:30:00,2021,3,Sunday,20,,JERSEY ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212026131,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,2021-04-22 20:00:00,2021,4,Thursday,20,,BOWDOIN AVE,0,0,"(0, 0)"
212026111,2647,,THREATS TO DO BODILY HARM,E13,574,0,2021-04-22 07:56:00,2021,4,Thursday,7,,CENTRE ST,0,0,"(0, 0)"
212026106,3201,,PROPERTY - LOST/ MISSING,C11,356,0,2021-04-22 05:00:00,2021,4,Thursday,5,,GENEVA AVE,0,0,"(0, 0)"
212026088,3503,,MISSING PERSON - NOT REPORTED - LOCATED,A7,20,0,2021-04-22 13:00:00,2021,4,Thursday,13,,CHELSEA ST,42.3763832611279,-71.0312410342379,"(42.3763832611279, -71.0312410342379)"
212026082,3115,,INVESTIGATE PERSON,E18,520,0,2021-04-22 23:05:00,2021,4,Thursday,23,,HYDE PARK AVE,42.2569352659959,-71.1238445022531,"(42.2569352659959, -71.1238445022531)"
212026081,3005,,SICK ASSIST,C11,403,0,2021-04-22 22:47:00,2021,4,Thursday,22,,FULLER ST,42.2824806811261,-71.0698118727944,"(42.2824806811261, -71.0698118727944)"
212026080,3115,,INVESTIGATE PERSON,B3,446,0,2021-04-22 23:02:00,2021,4,Thursday,23,,WATERLOW ST,42.2974423991884,-71.0773819235136,"(42.2974423991884, -71.0773819235136)"
212026079,3005,,SICK ASSIST,A1,79,0,2021-04-22 23:03:00,2021,4,Thursday,23,,"PRINCE ST & THACHER ST
BOSTON  MA 02113
UNITED STA",42.3657229937162,-71.0563620163062,"(42.3657229937162, -71.0563620163062)"
212026078,3501,,MISSING PERSON,B3,355,0,2021-04-22 22:57:00,2021,4,Thursday,22,,DUNLAP ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212026076,617,,LARCENY THEFT FROM BUILDING,D4,152,0,2021-04-22 20:18:00,2021,4,Thursday,20,,TREMONT ST,42.3432464165263,-71.072976434607,"(42.3432464165263, -71.072976434607)"
212026074,3115,,INVESTIGATE PERSON,E13,584,0,2021-04-22 21:46:00,2021,4,Thursday,21,,HEATH ST,42.3264077802203,-71.1010768242895,"(42.3264077802203, -71.1010768242895)"
212026073,3115,,INVESTIGATE PERSON,D14,794,0,2021-04-22 21:43:00,2021,4,Thursday,21,,BRIGHTON AVE,42.3531511963874,-71.1338598627489,"(42.3531511963874, -71.1338598627489)"
212026072,611,,LARCENY PICK-POCKET,A1,122,0,2021-04-22 18:29:00,2021,4,Thursday,18,,WASHINGTON ST,42.3500049171369,-71.0635905346232,"(42.3500049171369, -71.0635905346232)"
212026071,3006,,SICK/INJURED/MEDICAL - PERSON,A7,902,0,2021-04-22 21:07:00,2021,4,Thursday,21,,MARGINAL ST,42.3672858678465,-71.040416974163,"(42.3672858678465, -71.040416974163)"
212026070,301,,ROBBERY,C11, ,0,2021-04-22 20:53:00,2021,4,Thursday,20,,MALLET ST,42.29049634482,-71.0576352377513,"(42.29049634482, -71.0576352377513)"
212026069,3005,,SICK ASSIST,B2,330,0,2021-04-22 20:26:00,2021,4,Thursday,20,,BLUE HILL AVE,42.3063831586361,-71.0843563469392,"(42.3063831586361, -71.0843563469392)"
212026068,3005,,SICK ASSIST,A1,86,0,2021-04-22 20:40:00,2021,4,Thursday,20,,ENDICOTT ST,42.3641266186026,-71.0572921541033,"(42.3641266186026, -71.0572921541033)"
212026067,616,,LARCENY THEFT OF BICYCLE,D14, ,0,2021-04-22 19:45:00,2021,4,Thursday,19,,COMMONWEALTH AVE,42.3511538760521,-71.1170317946974,"(42.3511538760521, -71.1170317946974)"
212026066,3803,,M/V ACCIDENT - PERSONAL INJURY,B3,432,0,2021-04-22 20:30:00,2021,4,Thursday,20,,"NORFOLK ST & WILLOWWOOD ST
DORCHESTER  MA 02124
UN",42.2826500022693,-71.0853430493176,"(42.2826500022693, -71.0853430493176)"
212026065,3001,,DEATH INVESTIGATION,E13,912,0,2021-04-22 20:36:00,2021,4,Thursday,20,,CENTRE ST,42.32283758703,-71.1009672251263,"(42.32283758703, -71.1009672251263)"
212026063,619,,LARCENY ALL OTHERS,A15,57,0,2021-04-22 19:36:00,2021,4,Thursday,19,,MONUMENT SQ,42.3770532432201,-71.0608419962529,"(42.3770532432201, -71.0608419962529)"
212026062,2647,,THREATS TO DO BODILY HARM,B2,604,0,2021-04-22 12:00:00,2021,4,Thursday,12,,HILLSIDE ST,42.330916264922,-71.1047582274814,"(42.330916264922, -71.1047582274814)"
212026061,3115,,INVESTIGATE PERSON,E18,520,0,2021-04-22 20:53:00,2021,4,Thursday,20,,WINBOROUGH ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212026060,2647,,THREATS TO DO BODILY HARM,E18,542,0,2021-04-22 20:47:00,2021,4,Thursday,20,,RIVER ST,42.2551915563661,-71.1276172061026,"(42.2551915563661, -71.1276172061026)"
212026059,3018,,SICK/INJURED/MEDICAL - POLICE,E5,691,0,2021-04-22 16:03:00,2021,4,Thursday,16,,CENTRE ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
212026058,801,,ASSAULT - SIMPLE,A1,68,0,2021-04-22 18:50:00,2021,4,Thursday,18,,CAMBRIDGE ST,42.3611312262989,-71.0648433374357,"(42.3611312262989, -71.0648433374357)"
212026057,3115,,INVESTIGATE PERSON,E13, ,0,2021-04-22 18:10:00,2021,4,Thursday,18,,"MORTON ST & CANTERBURY ST
DORCHESTER  MA 02121
UNI",42.2932179733488,-71.0963759413063,"(42.2932179733488, -71.0963759413063)"
212026056,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2,279,0,2021-04-22 19:38:00,2021,4,Thursday,19,,"DUDLEY ST & GREENVILLE ST
ROXBURY  MA 02119
UNITED",42.3284970204738,-71.0808969403543,"(42.3284970204738, -71.0808969403543)"
212026055,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,3,0,2021-04-22 17:30:00,2021,4,Thursday,17,,BENNINGTON ST,42.3893287409613,-70.9979277598515,"(42.3893287409613, -70.9979277598515)"
212026053,3501,,MISSING PERSON,D4,273,0,2021-04-22 15:45:00,2021,4,Thursday,15,,MASSACHUSETTS AVE,42.3375571460118,-71.0783601818338,"(42.3375571460118, -71.0783601818338)"
212026052,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,28,0,2021-04-22 15:15:00,2021,4,Thursday,15,,SARATOGA ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
212026050,617,,LARCENY THEFT FROM BUILDING,D14,794,0,2021-04-22 17:39:00,2021,4,Thursday,17,,PARK VALE AVE,42.3518244638855,-71.133133690073,"(42.3518244638855, -71.133133690073)"
212026048,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,333,0,2021-04-22 18:25:00,2021,4,Thursday,18,,"COLUMBIA RD & QUINCY ST
DORCHESTER  MA 02125
UNITE",42.3113389682479,-71.0702410017705,"(42.3113389682479, -71.0702410017705)"
212026047,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7,35,0,2021-04-22 18:59:00,2021,4,Thursday,18,,"ORLEANS ST & SUMNER ST
EAST BOSTON  MA 02128
UNITE",42.3681140053433,-71.0379820037554,"(42.3681140053433, -71.0379820037554)"
212026045,2647,,THREATS TO DO BODILY HARM,A1, ,0,2021-04-22 17:35:00,2021,4,Thursday,17,,"HIGH ST & CONGRESS ST
BOSTON  MA 02110
UNITED STAT",42.3546460148298,-71.0546420444518,"(42.3546460148298, -71.0546420444518)"
212026043,3115,,INVESTIGATE PERSON,B2,282,0,2021-04-22 17:45:00,2021,4,Thursday,17,,WASHINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212026042,3114,,INVESTIGATE PROPERTY,E18,520,0,2021-04-22 18:56:00,2021,4,Thursday,18,,HYDE PARK AVE,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212026040,1107,,FRAUD - IMPERSONATION,C11,355,0,2021-04-16 00:00:00,2021,4,Friday,0,,HANCOCK ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212026039,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,151,0,2021-04-22 18:29:00,2021,4,Thursday,18,,BERKELEY ST,42.3464650501886,-71.0707043557736,"(42.3464650501886, -71.0707043557736)"
212026038,3115,,INVESTIGATE PERSON,A7,26,0,2021-04-22 17:49:00,2021,4,Thursday,17,,BORDER ST,42.3738275516213,-71.0405245854353,"(42.3738275516213, -71.0405245854353)"
212026034,619,,LARCENY ALL OTHERS,D4,147,0,2021-04-22 17:59:00,2021,4,Thursday,17,,GREENWICH PARK,42.3426286635535,-71.080519208449,"(42.3426286635535, -71.080519208449)"
212026033,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,200,0,2021-04-22 06:00:00,2021,4,Thursday,6,,"101 W BROADWAY
BOSTON  MA 02127
UNITED STATES",42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
212026031,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,E13, ,0,2021-04-22 15:21:00,2021,4,Thursday,15,,AMORY AVE,42.320665343805,-71.1000498725617,"(42.320665343805, -71.1000498725617)"
212026030,2610,,TRESPASSING,A1,77,0,2021-04-22 18:18:00,2021,4,Thursday,18,,CHESTNUT ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212026028,3110,,SERVICE TO OTHER AGENCY,A7,26,0,2021-04-22 17:57:00,2021,4,Thursday,17,,BORDER ST,42.3738275516213,-71.0405245854353,"(42.3738275516213, -71.0405245854353)"
212026027,3006,,SICK/INJURED/MEDICAL - PERSON,B2,180,0,2021-04-22 16:05:00,2021,4,Thursday,16,,"BLUE HILL AVE & DUDLEY ST
ROXBURY  MA 02119
UNITED",42.3252090104503,-71.0749769839292,"(42.3252090104503, -71.0749769839292)"
212026026,3801,,M/V ACCIDENT - OTHER,External,520,0,2021-04-22 18:06:00,2021,4,Thursday,18,,WALK HILL ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212026025,2102,,OPERATING UNDER THE INFLUENCE (OUI) DRUGS,A15, ,0,2021-04-22 16:20:00,2021,4,Thursday,16,,ALFORD ST,42.3900009661688,-71.0707493000403,"(42.3900009661688, -71.0707493000403)"
212026024,801,,ASSAULT - SIMPLE,C6,182,0,2021-04-22 18:01:00,2021,4,Thursday,18,,MASSACHUSETTS AVE,42.3263352703785,-71.0664879549365,"(42.3263352703785, -71.0664879549365)"
212026023,3115,,INVESTIGATE PERSON,E13,565,0,2021-04-22 15:36:00,2021,4,Thursday,15,,TOWER ST,42.2983326169311,-71.1076896369484,"(42.2983326169311, -71.1076896369484)"
212026022,801,,ASSAULT - SIMPLE,C11,385,0,2021-04-22 17:04:00,2021,4,Thursday,17,,HALLET ST,42.2807673693031,-71.0473649682546,"(42.2807673693031, -71.0473649682546)"
212026021,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,362,0,2021-04-22 17:10:00,2021,4,Thursday,17,,LYNDHURST ST,42.2929056249819,-71.0695579534627,"(42.2929056249819, -71.0695579534627)"
212026020,2610,,TRESPASSING,E5,734,0,2021-04-22 17:00:00,2021,4,Thursday,17,,LAGRANGE ST,42.2829441402278,-71.1610300432804,"(42.2829441402278, -71.1610300432804)"
212026018,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2021-04-22 14:00:00,2021,4,Thursday,14,,CALUMET ST,42.3335452476598,-71.1050459440265,"(42.3335452476598, -71.1050459440265)"
212026017,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,B2,282,0,2021-04-10 17:44:00,2021,4,Saturday,17,,ELDER ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212026015,613,,LARCENY SHOPLIFTING,E5,550,0,2021-04-22 16:28:00,2021,4,Thursday,16,,WASHINGTON ST,42.2758179916097,-71.1399125925088,"(42.2758179916097, -71.1399125925088)"
212026013,2905,,VAL - VIOLATION OF AUTO LAW,A7, ,0,2021-04-22 17:04:00,2021,4,Thursday,17,,WILLIAM F MCCLELLAN HWY,42.3877747458985,-71.0176923100685,"(42.3877747458985, -71.0176923100685)"
212026012,3115,,INVESTIGATE PERSON,A1,116,0,2021-04-22 17:26:00,2021,4,Thursday,17,,OXFORD ST,42.3519346048823,-71.0604859222393,"(42.3519346048823, -71.0604859222393)"
212026011,3115,,INVESTIGATE PERSON,B3,448,0,2021-04-22 16:27:00,2021,4,Thursday,16,,MILLET ST,42.2936874796953,-71.0769242185875,"(42.2936874796953, -71.0769242185875)"
212026009,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,441,0,2021-04-22 17:55:00,2021,4,Thursday,17,,"BROWNING AVE & WALES ST
DORCHESTER  MA 02124
UNITE",42.2938570119084,-71.0832399488924,"(42.2938570119084, -71.0832399488924)"
212026008,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,570,0,2021-04-22 16:40:00,2021,4,Thursday,16,,ROSSMORE RD,42.3044165473905,-71.1065855805733,"(42.3044165473905, -71.1065855805733)"
212026005,613,,LARCENY SHOPLIFTING,D4,141,0,2021-04-22 16:23:00,2021,4,Thursday,16,,NEWBURY ST,42.3484057624732,-71.0868833874023,"(42.3484057624732, -71.0868833874023)"
212026004,3005,,SICK ASSIST,D14,767,0,2021-04-22 15:40:00,2021,4,Thursday,15,,SOLDIERS FIELD RD,42.3593440900471,-71.1538978017391,"(42.3593440900471, -71.1538978017391)"
212026003,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,793,0,2021-04-22 15:50:00,2021,4,Thursday,15,,COMMONWEALTH AVE,42.3488887177949,-71.1335453031575,"(42.3488887177949, -71.1335453031575)"
212026002,3205,,M/V PLATES - LOST,A1,77,0,2021-03-12 11:00:00,2021,3,Friday,11,,BLOSSOM ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212026001,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,282,0,2021-04-22 14:30:00,2021,4,Thursday,14,,"2400 WASHINGTON ST
ROXBURY  MA 02119
UNITED STATES",42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212025999,801,,ASSAULT - SIMPLE,A1,65,0,2021-04-22 16:33:00,2021,4,Thursday,16,,CAMBRIDGE ST,42.3612432686917,-71.0649732702798,"(42.3612432686917, -71.0649732702798)"
212025998,1107,,FRAUD - IMPERSONATION,D14,778,0,2021-04-22 12:47:00,2021,4,Thursday,12,,KELTON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212025997,3301,,VERBAL DISPUTE,A15,50,0,2021-04-22 16:27:00,2021,4,Thursday,16,,"CAMBRIDGE ST & PARKER ST
CHARLESTOWN  MA 02129
UNI",42.3822939895229,-71.0795780373877,"(42.3822939895229, -71.0795780373877)"
212025996,3810,,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,E13,642,0,2021-04-22 16:30:00,2021,4,Thursday,16,,CENTRE ST,42.3133275315408,-71.1141002252277,"(42.3133275315408, -71.1141002252277)"
212025993,613,,LARCENY SHOPLIFTING,E13,646,0,2021-04-22 15:49:00,2021,4,Thursday,15,,SOUTH ST,42.3082703538443,-71.115496435546,"(42.3082703538443, -71.115496435546)"
212025992,3801,,M/V ACCIDENT - OTHER,C6,186,0,2021-04-22 16:28:00,2021,4,Thursday,16,,ALLSTATE RD,42.3269664713639,-71.0619860658484,"(42.3269664713639, -71.0619860658484)"
212025991,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,0,2021-04-22 15:54:00,2021,4,Thursday,15,,FESSENDEN ST,42.2785598380554,-71.0919969742475,"(42.2785598380554, -71.0919969742475)"
212025990,801,,ASSAULT - SIMPLE,E13,307,0,2021-04-22 15:48:00,2021,4,Thursday,15,,WASHINGTON ST,42.3161518408067,-71.0979513524583,"(42.3161518408067, -71.0979513524583)"
212025989,3114,,INVESTIGATE PROPERTY,D4,147,0,2021-04-22 15:55:00,2021,4,Thursday,15,,WELLINGTON ST,42.3415341246194,-71.0817436772639,"(42.3415341246194, -71.0817436772639)"
212025987,3201,,PROPERTY - LOST/ MISSING,External,77,0,2021-04-22 11:05:00,2021,4,Thursday,11,,LOGAN AIRPORT TERMINAL B,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212025986,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2,584,0,2021-04-22 15:30:00,2021,4,Thursday,15,,LAWN ST,42.3270164777195,-71.1055508779253,"(42.3270164777195, -71.1055508779253)"
212025985,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,130,0,2021-04-22 15:15:00,2021,4,Thursday,15,,"CLARENDON ST & SAINT JAMES AVE
BOSTON  MA 02116
UN",42.3498420246242,-71.0748020402492,"(42.3498420246242, -71.0748020402492)"
212025984,3115,,INVESTIGATE PERSON,E5, ,0,2021-04-22 10:00:00,2021,4,Thursday,10,,"BAKER ST & CENTRE ST
BOSTON  MA 02132
UNITED STATE",42.2711449782485,-71.1618340520121,"(42.2711449782485, -71.1618340520121)"
212025983,3115,,INVESTIGATE PERSON,D4,162,0,2021-04-22 15:28:00,2021,4,Thursday,15,,TRAVELER ST,42.3442378076867,-71.0629643963208,"(42.3442378076867, -71.0629643963208)"
212025982,2610,,TRESPASSING,D4,130,0,2021-04-22 14:37:00,2021,4,Thursday,14,,HUNTINGTON AVE,42.3485765153387,-71.0777201186254,"(42.3485765153387, -71.0777201186254)"
212025978,3115,,INVESTIGATE PERSON,D14,794,0,2021-04-22 14:52:00,2021,4,Thursday,14,,GLENVILLE AVE,42.3497798761788,-71.1342304870077,"(42.3497798761788, -71.1342304870077)"
212025977,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,156,0,2021-04-22 15:06:00,2021,4,Thursday,15,,MASSACHUSETTS AVE,42.3382886564083,-71.0790847633429,"(42.3382886564083, -71.0790847633429)"
212025976,619,,LARCENY ALL OTHERS,E5,668,0,2021-04-21 14:40:00,2021,4,Wednesday,14,,CORNELL ST,42.2787998156687,-71.1344455560747,"(42.2787998156687, -71.1344455560747)"
212025975,3125,,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),C6,186,0,2021-04-22 14:55:00,2021,4,Thursday,14,,ALLSTATE RD,42.3269664713639,-71.0619860658484,"(42.3269664713639, -71.0619860658484)"
212025974,3005,,SICK ASSIST,D4,145,0,2021-04-22 14:39:00,2021,4,Thursday,14,,HUNTINGTON AVE,42.3434196200371,-71.0839559965977,"(42.3434196200371, -71.0839559965977)"
212025973,2905,,VAL - VIOLATION OF AUTO LAW,B3,427,0,2021-04-22 14:15:00,2021,4,Thursday,14,,ASTORIA ST,42.2791384061075,-71.0879708990336,"(42.2791384061075, -71.0879708990336)"
212025972,3201,,PROPERTY - LOST/ MISSING,B2,282,0,2021-04-22 15:03:00,2021,4,Thursday,15,,WASHINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212025971,801,,ASSAULT - SIMPLE,B3,465,0,2021-04-22 00:00:00,2021,4,Thursday,0,,CAPEN ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212025970,1102,,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,2021-04-22 14:30:00,2021,4,Thursday,14,,MSGR PATRICK J LYDON WAY,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212025969,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3,444,0,2021-04-22 14:37:00,2021,4,Thursday,14,,ABBOT ST,42.2968616236314,-71.0858418295072,"(42.2968616236314, -71.0858418295072)"
212025968,801,,ASSAULT - SIMPLE,E5, ,0,2021-04-22 14:12:00,2021,4,Thursday,14,,FLORENCE ST,42.2867610197892,-71.1207659650916,"(42.2867610197892, -71.1207659650916)"
212025967,3115,,INVESTIGATE PERSON,D14,804,0,2021-04-22 13:29:00,2021,4,Thursday,13,,EVERETT ST,42.3559539126781,-71.1385246825818,"(42.3559539126781, -71.1385246825818)"
212025966,617,,LARCENY THEFT FROM BUILDING,D4,283,0,2021-04-22 14:15:00,2021,4,Thursday,14,,HUNTINGTON AVE,42.3404496556172,-71.0884593467749,"(42.3404496556172, -71.0884593467749)"
212025965,616,,LARCENY THEFT OF BICYCLE,C6,212,0,2021-04-22 14:40:00,2021,4,Thursday,14,,W SECOND ST,42.3386538300309,-71.046960137185,"(42.3386538300309, -71.046960137185)"
212025964,3115,,INVESTIGATE PERSON,C11,364,0,2021-04-22 13:43:00,2021,4,Thursday,13,,ALTHEA ST,42.2939595821831,-71.0590059737149,"(42.2939595821831, -71.0590059737149)"
212025963,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2021-01-01 00:00:00,2021,1,Friday,0,,WHITFIELD ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212025962,724,,AUTO THEFT,A1,115,0,2021-04-22 14:11:00,2021,4,Thursday,14,,LINCOLN ST,42.3513176331952,-71.0583836667011,"(42.3513176331952, -71.0583836667011)"
212025961,3301,,VERBAL DISPUTE,C11,362,0,2021-04-22 12:30:00,2021,4,Thursday,12,,WASHINGTON ST,42.2913161278971,-71.0717029279606,"(42.2913161278971, -71.0717029279606)"
212025941,3005,,SICK ASSIST,E18,957,0,2021-04-22 13:15:00,2021,4,Thursday,13,,CLIFFMONT ST,42.2766822051121,-71.1206526825539,"(42.2766822051121, -71.1206526825539)"
212025939,3001,,DEATH INVESTIGATION,D4,179,0,2021-04-22 13:38:00,2021,4,Thursday,13,,MASSACHUSETTS AVE,42.3328558502194,-71.0726241783837,"(42.3328558502194, -71.0726241783837)"
212025938,3810,,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,B2, ,0,2021-04-22 13:45:00,2021,4,Thursday,13,,"WARREN ST & DUDLEY ST
ROXBURY  MA 02119
UNITED STA",42.328657016949,-71.0834519549857,"(42.328657016949, -71.0834519549857)"
212025937,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,41,0,2021-04-20 16:30:00,2021,4,Tuesday,16,,COOK ST,42.3766316681323,-71.0559319549787,"(42.3766316681323, -71.0559319549787)"
212025936,3114,,INVESTIGATE PROPERTY,B2, ,0,2021-04-22 13:57:00,2021,4,Thursday,13,,HUMBOLDT AVE,42.3131549852538,-71.0894887631293,"(42.3131549852538, -71.0894887631293)"
212025935,2647,,THREATS TO DO BODILY HARM,A1,101,0,2021-04-22 13:35:00,2021,4,Thursday,13,,STATE ST,42.3594255554241,-71.05288819168,"(42.3594255554241, -71.05288819168)"
212025934,3115,,INVESTIGATE PERSON,B2,602,0,2021-04-22 12:53:00,2021,4,Thursday,12,,WORTHINGTON ST,42.3340970305289,-71.1022637428627,"(42.3340970305289, -71.1022637428627)"
212025933,3106,,PROPERTY - ACCIDENTAL DAMAGE,C11,405,0,2021-04-22 13:13:00,2021,4,Thursday,13,,AVONDALE ST,42.2752723319069,-71.0687051950082,"(42.2752723319069, -71.0687051950082)"
